29,California Air Tools 5 Gallon Pressure Pot With Hvlp Spray Gun And Hose,3,422.04,,,
30,Hoover Ch82010 Ground Command Super Heavy-duty Air Mover, 12 A, 30 Lbs, Black,8,607.11
31,Wagan Heavy-duty Air Compressor,4,250.83,,,
32,Irwin 30-piece Drive Set,1885554,4,227.63,,
33,Black & Decker Vs Jig Saw, Js515,8,143.49,,
34,Hitachi 18-volt Lithium-ion 3 Tool Combo Kit,5,806.28,,,
35,Makita Mklxt311fh 18 Volt Drill And Impact Kit,7,536.26,,,
36,Ultra Steel 4-piece 18v Cordless Power Tool Kit,5,307.12,,,
37,Wen 5.2 Amp Electric Pole Saw,8,573.43,,,
38,Black & Decker Matrix Combo Kit, 20v Drill And Trim Saw, Bdcdmt120ts,9,462.05,
39,Stanley Fatmax 8.5 Amp Reciprocating Saw, Fme365k,300.63,,,
40,Great Neck Saw Ra38 3/8 Drive Forward And Reverse Ratchet,3,524.3,,,
41,Bostitch 8.5 Amp Orbital Reciprocating Saw And Bonus Saw Blade Set Bundle,9,422.42,,,
42,Campbell-hausfeld Mp5142 Air Chuck With Gauge,1,321.95,,,
43,Hitachi 83-piece Drill And Driver Bit Set,4,295.28,,,
44,Dremel 4200 Rotary Tool With Ez Change, 4200-6/40,1,752.06,,
45,Acme Automotive Inline Adj Air Regulator,2,31.73,,,
46,Rockwell Shopseries 18-volt Cordless Combo Kit, 3pc,2,842.34,,
47,Numax 2 Brad Nailer,6,859.56,,,
48,Professional Woodworker Pneumatic Brad Nailer And Air Stapler Combo Tool Kit,4,556.51,,,
49,Hitachi 2 1/4 Horsepower 11 Amp Plunge And Fixed Base Variable Speed Router Kit,6,209.57,,,
50,Cgw Abrasives Z-thru Flap Discs - 4 1/2 X 7/8 Z-80 T27 Z-thru Flap Disc,630.09,,,,
51,Black & Decker Matrix Sanding Head Attachment, Bdcmts,3,398.22,,
52,Ad Tech Multi-temp Full Size 4 Glue Sticks, 50 Ct,7,898.02,,
53,Masterflow 12v 3-in-1 Turbo-boost Air Compressor / Inflator / Deflator,2,226.59,,,
54,Stanley Fatmax Value Bundle,8,811.19,,,
55,Bon-aire 12 Volt All In One Compressor In A Bag, Yellow,9,334.47,,
56,Dremel 8v Max Cordless Rotary Tool, 8100-n/21,9,138.07,,
57,Black & Decker Matrix Combo Kit, 20v Drill And Jig Saw, Bdcdmt120js,4,728.56,
58,Legacy Mfg 3/8 X 100 Flex Air Hose Yellow,8,209.05,,,
59,Bosch 6335-01 7 Amp 1/2 Corded Drill,9,546.63,,,
60,Lumberjack Tools Hsbk1 Home Series Beginners Kit,3,484.64,,,
61,Home Series 3 Pc Master Kit,2,823.86,,,
62,Dremel Sm510 3 Metal Cut-off Wheel,4,715.28,,,
63,Otc 4813 171 Piece Heat Shrink Tubing Set,5,796.08,,,
64,Ingersoll Rand 1/2 Air Impact Wrench 231ha,5,509.12,,,
65,12-volt Lith-ion Drill W/ Bonus Case & 150-piece Socket Set,3,103.82,,,
66,Paasche Air Brush Dual Action Airbrush Set,1,735.78,,,
67,Bostitch 6.5 Amp 3/8 Drill, Bte100k,5,154.35,,
68,Hitachi 12v Cordless Drill/driver Kit,6,867.34,,,
69,Hitachi 12v Peak 2 Tool Li-ion Combo Kit With Carrying Bag,4,853.55,,,
70,Black & Decker 4-amp Corded Drill/driver,4,95,,,
71,Buffalo Tools 19 Piece Hole Saw Set,4,937.17,,,
72,Skil 1810 1/4 Fixed Base Router,3,857.69,,,
73,Makita Btl061 Lxt 18 Volt Angle Drill Kit,9,211.16,,,
74,North American Tool 51872 80-piece Mini Rotary Tool Kit,3,281.13,,,
75,Black And Decker 3/8 6-amp Variable Speed Drill With Keyless Chuck,2,153.27,,,
76,Ultra Steel 3.0 Amp Jig Saw,949.07,,,,
77,Surebonder Ultra-full Size Dual Temperature Glue Gun,6,533.14,,,
78,Vim Products 12mm Triple Square Bit,6,415,,,
79,Ingersoll Rand 244a 1/2-inch Drive Super Duty Impact Wrench,7,975.84,,,
80,Fry Technologies Cookson Elect Am33955 95/5 Lead-free Solid Wire Solder,8,911.51,,,
81,Ingersoll Rand 1/2 Impact Wrench Tune-up Kit For 231ha And 231ha-2,8,723.75,,,
82,Black & Decker 3-speed Rtx Rotary Tool With Bonus Spring Clamps, Rtx-6,3,825.6,,
83,Skil 3410-02 10 Table Saw,244.3,,,,
84,Lincoln Industrial 14.4 Volt Powerlube Kit - 2 Battery,8,682.27,,,
85,Stanley Fatmax 12v Cordless Drill, Fmc010lb,5,786.2,,
86,Gmc Power Equipment 6.3 Gallon Gmc Syclone 6310 Ultra Quiet And Oil-free Air Compressor,2,614.97,,,
87,Hitachi 4.5 X 5.5 Sv12sg Perforfeltpad,9,504.31,,,
88,Stack-on 66 Steel Workbench,4,600.22,,,
89,Wen Apex Pro 12v 3/8 Lithium Ion Cordless Drill/driver,8,353.43,,,
90,Lumberjack Tools Tac2000 2-inch Commercial Series Tenon Cutter,6,95.28,,,
91,Forney 72732 Wire Cup Brush Fine Crimped With 1/4-inch Hex Shank 3-inch-by-.008-inch,6,593.81,,,
92,Motor Trend Cpm-0610 110-volt Ac Home Air Compressor,3,141.29,,,
93,Hitachi 17 Piece Split Point Black Oxide Shield Drill Bit Set,456.34,,,,
94,Campbell Hausfeld 8gal Oil Free Air Compressor,1,480.88,,,
95,Blazer Products 189-2072 Clear Pocket Torch Pb207 Black,2,282.86,,,
96,Jflint Products 306 Mr Hard Water- Power Tool System,5,787.87,,,
97,Vermont American 10 40 Tpi 10x Titanium Carbide Circular Saw Blades 27831,9,287.24,,,
98,Campbell Hausfeld Dual Action Sander,718.21,,,,
99,Hitachi 18v Lithium-ion Impact Wrench (tool Body Only),1,975.2,,,
100,Ultra Steel 1.5 Amp Palm Sander,7,164.93,,,
