55,Bon-ton Stores,4837 Des Plaines River,Ann Arbor,48176,Michigan,708 751 1425
56,Resolute Forest Products,7419 Peterson,Houston,70526,Texas,779 209 8062
57,Colgate-palmolive Company,8612 Dan Ryan Franklin,Tucson,85302,Arizona,484 988 1301
58,Kinder Morgan,7701 St Johns,Fremont,94554,California,361 583 2243
59,Navistar,6489 Eisenhower Independence Bl,Chula Vista,91989,California,229 534 2559
60,Jarden Corporation,7170 Fort Dearborn,El Paso,79492,Texas,925 703 6694
61,Cerner Corporation,9620 Kenton,Springfield,1192,Massachusetts,312 269 7418
62,American Electric Power Company,8044 Lsd Fort Dearborn,Shreveport,71185,Louisiana,903 325 8766
63,Fifth Third Bancorp,2957 Howland,Kansas City,66052,Kansas,615 230 5521
64,Kansas City Power & Light Company,8986 Jones,San Antonio,78155,Texas,414 635 3681
65,Emcor Group,7464 Maryland,Allentown,18126,Pennsylvania,856 745 4346
66,Genuine Parts Company,4552 Edward Barron,Oakland,94833,California,913 578 4236
67,Hyatt Hotels Corporation,6973 Harlem,Birmingham,35070,Alabama,814 302 1881
68,Vulcan Materials Company,2036 I55 Pulaski Rd,Peoria,85339,Arizona,419 195 7672
69,Autodesk,9189 Waukesha,Glendale,85023,Arizona,681 356 3942
70,Forest Laboratories,5510 Circle,Minneapolis,55668,Minnesota,430 366 1517
71,Cbs Corporation,9176 Russell,Provo,84053,Utah,760 221 6321
72,Firstenergy Corp,1664 Corliss,Joliet,60476,Illinois,305 581 2896
73,Manitowoc Company,7064 Pleasant,Spokane,99206,Washington,209 319 6780
74,Ims Healthorporated,8489 Belmont Harbor Access,Denver,80355,Colorado,443 594 8070
75,Energizer Holdings,1294 Irene,Chandler,85226,Arizona,423 587 4555
76,Tenneco,3870 Arcade,Honolulu,96274,Hawaii,309 421 1247
77,Ralph Lauren Corporation,9214 Finsbury,Jackson,49249,Mississippi,706 733 9344
78,Forest Laboratories,4640 Kennedy Irving Park Rd,Fresno,93290,California,316 800 2970
79,Hewlett-packard Company,9764 Thomas,Bakersfield,93000,California,321 326 0016
80,Abbott Laboratories,7580 Raven,Naperville,60457,Illinois,806 330 8957
81,The Abm Industriesorporated,9601 Burton,Lexington,405901,Kentucky,501 624 8317
82,Cbs Corporation,1028 Marble,Gilbert,85261,Arizona,901 926 8043
83,L Brands,5111 Lakeview,Coral Springs,33095,Florida,786 620 2750
84,Lsi Corporation,2146 Baggot,Overland Park,66217,Kansas,305 618 8155
85,Xilinx,2935 Hobart,Hollywood,33064,Florida,707 687 2623
86,Parker Hannifin Corporation,2533 Kennedy Western Av,Aurora,80078,Colorado,517 657 3106
87,Hess Corporation,5750 Opal,Springfield,1196,Massachusetts,978 200 4360
88,Invacare Corporation,2733 Gullikson,Chula Vista,91938,California,650 501 1234
89,Plains All American Pipeline,2091 Cregier,Fort Collins,80532,Colorado,218 884 1637
90,Anderson Instrument Company,4660 Wacker Sb Lsd Lower,Philadelphia,19684,Pennsylvania,949 287 5369
91,The Gap,7288 Lsd 47th St,Warren,48006,Michigan,636 290 5143
92,Commscope Holding Company,328 Ohare,Anchorage,99419,Alaska,769 126 4004
93,Service Corporation International,9898 Doty,Arlington,76297,Texas,719 950 2106
94,Unisys Corporation,4124 Addison,Sioux Falls,57079,South Dakota,618 134 3661
95,Lowe's Companies,3986 Melvina,Birmingham,35043,Alabama,443 339 7276
96,Key Bank,7311 Corliss,Wichita,67950,Kansas,251 705 9322
97,Molina Healthcare,7435 River Loft,Des Moines,50347,Iowa,814 585 3623
98,John Deere Company,8664 Diversey School,Birmingham,35064,Alabama,714 707 7922
99,Hanesbrands,8042 Imlay,Gainesville,32607,Florida,432 696 8690
100,Sonoco Products,2323 Kinzua,Overland Park,66242,Kansas,872 646 9194
