Date: Wed Jan 02 00:00:00 PST 1980, Total Sales: 1
Date: Wed Jun 25 00:00:00 PDT 1980, Total Sales: 1
Date: Thu Jun 26 00:00:00 PDT 1980, Total Sales: 1
Date: Wed Jul 02 00:00:00 PDT 1980, Total Sales: 1
Date: Sun Jul 06 00:00:00 PDT 1980, Total Sales: 1
Date: Thu Jul 17 00:00:00 PDT 1980, Total Sales: 1
Date: Mon Aug 11 00:00:00 PDT 1980, Total Sales: 1
Date: Fri Aug 15 00:00:00 PDT 1980, Total Sales: 1
Date: Wed Aug 20 00:00:00 PDT 1980, Total Sales: 1
Date: Mon Aug 25 00:00:00 PDT 1980, Total Sales: 1
Date: Wed Sep 10 00:00:00 PDT 1980, Total Sales: 2
Date: Fri Sep 19 00:00:00 PDT 1980, Total Sales: 1
Date: Sun Sep 28 00:00:00 PDT 1980, Total Sales: 1
Date: Mon Oct 06 00:00:00 PDT 1980, Total Sales: 1
Date: Wed Oct 08 00:00:00 PDT 1980, Total Sales: 1
Date: Thu Oct 23 00:00:00 PDT 1980, Total Sales: 1
Date: Fri Nov 07 00:00:00 PST 1980, Total Sales: 1
Date: Fri Nov 14 00:00:00 PST 1980, Total Sales: 1
Date: Mon Nov 17 00:00:00 PST 1980, Total Sales: 1
Date: Thu Nov 20 00:00:00 PST 1980, Total Sales: 1
Date: Fri Nov 21 00:00:00 PST 1980, Total Sales: 1
Date: Mon Dec 08 00:00:00 PST 1980, Total Sales: 1
Date: Tue Dec 16 00:00:00 PST 1980, Total Sales: 1
Date: Sat Dec 27 00:00:00 PST 1980, Total Sales: 1
Date: Sun Dec 28 00:00:00 PST 1980, Total Sales: 1
Date: Sat Jan 17 00:00:00 PST 1981, Total Sales: 1
Date: Fri Jan 23 00:00:00 PST 1981, Total Sales: 1
Date: Thu Jan 29 00:00:00 PST 1981, Total Sales: 1
Date: Tue Feb 17 00:00:00 PST 1981, Total Sales: 1
Date: Wed Feb 25 00:00:00 PST 1981, Total Sales: 1
Date: Thu Mar 05 00:00:00 PST 1981, Total Sales: 1
Date: Sat Mar 07 00:00:00 PST 1981, Total Sales: 1
Date: Tue Mar 17 00:00:00 PST 1981, Total Sales: 1
Date: Sat Mar 21 00:00:00 PST 1981, Total Sales: 2
Date: Fri Mar 27 00:00:00 PST 1981, Total Sales: 1
Date: Thu Apr 02 00:00:00 PST 1981, Total Sales: 1
Date: Mon Apr 20 00:00:00 PST 1981, Total Sales: 1
Date: Wed Apr 22 00:00:00 PST 1981, Total Sales: 1
Date: Thu Apr 23 00:00:00 PST 1981, Total Sales: 1
Date: Sun Apr 26 00:00:00 PST 1981, Total Sales: 1
Date: Mon May 18 00:00:00 PDT 1981, Total Sales: 1
Date: Fri May 29 00:00:00 PDT 1981, Total Sales: 1
Date: Sat Jun 13 00:00:00 PDT 1981, Total Sales: 1
Date: Thu Jul 02 00:00:00 PDT 1981, Total Sales: 1
Date: Sun Jul 12 00:00:00 PDT 1981, Total Sales: 1
Date: Thu Jul 23 00:00:00 PDT 1981, Total Sales: 1
Date: Mon Jul 27 00:00:00 PDT 1981, Total Sales: 1
Date: Fri Jul 31 00:00:00 PDT 1981, Total Sales: 1
Date: Wed Sep 02 00:00:00 PDT 1981, Total Sales: 1
Date: Sat Sep 05 00:00:00 PDT 1981, Total Sales: 1
Date: Sun Sep 06 00:00:00 PDT 1981, Total Sales: 1
Date: Mon Sep 21 00:00:00 PDT 1981, Total Sales: 1
Date: Sat Sep 26 00:00:00 PDT 1981, Total Sales: 1
Date: Wed Sep 30 00:00:00 PDT 1981, Total Sales: 1
Date: Fri Oct 09 00:00:00 PDT 1981, Total Sales: 1
Date: Fri Oct 16 00:00:00 PDT 1981, Total Sales: 1
Date: Sat Oct 17 00:00:00 PDT 1981, Total Sales: 1
Date: Tue Oct 20 00:00:00 PDT 1981, Total Sales: 1
Date: Wed Oct 21 00:00:00 PDT 1981, Total Sales: 1
Date: Thu Oct 22 00:00:00 PDT 1981, Total Sales: 1
Date: Fri Oct 23 00:00:00 PDT 1981, Total Sales: 1
Date: Wed Oct 28 00:00:00 PST 1981, Total Sales: 2
Date: Fri Nov 06 00:00:00 PST 1981, Total Sales: 1
Date: Tue Nov 10 00:00:00 PST 1981, Total Sales: 1
Date: Fri Nov 13 00:00:00 PST 1981, Total Sales: 2
Date: Thu Nov 19 00:00:00 PST 1981, Total Sales: 1
Date: Sun Dec 20 00:00:00 PST 1981, Total Sales: 1
Date: Thu Dec 24 00:00:00 PST 1981, Total Sales: 1
Date: Fri Dec 25 00:00:00 PST 1981, Total Sales: 1
Date: Tue Jan 26 00:00:00 PST 1982, Total Sales: 1
Date: Wed Feb 03 00:00:00 PST 1982, Total Sales: 1
Date: Sat Feb 13 00:00:00 PST 1982, Total Sales: 1
Date: Mon Feb 15 00:00:00 PST 1982, Total Sales: 1
Date: Mon Mar 01 00:00:00 PST 1982, Total Sales: 1
Date: Wed Mar 10 00:00:00 PST 1982, Total Sales: 1
Date: Mon Mar 22 00:00:00 PST 1982, Total Sales: 1
Date: Fri Mar 26 00:00:00 PST 1982, Total Sales: 1
Date: Sat Mar 27 00:00:00 PST 1982, Total Sales: 1
Date: Sun Apr 04 00:00:00 PST 1982, Total Sales: 1
Date: Fri Apr 09 00:00:00 PST 1982, Total Sales: 1
Date: Thu Apr 15 00:00:00 PST 1982, Total Sales: 1
Date: Sun Apr 18 00:00:00 PST 1982, Total Sales: 1
Date: Wed Apr 28 00:00:00 PDT 1982, Total Sales: 1
Date: Sat May 01 00:00:00 PDT 1982, Total Sales: 1
Date: Mon May 03 00:00:00 PDT 1982, Total Sales: 1
Date: Fri May 07 00:00:00 PDT 1982, Total Sales: 1
Date: Mon May 10 00:00:00 PDT 1982, Total Sales: 1
Date: Fri May 21 00:00:00 PDT 1982, Total Sales: 1
Date: Sun May 23 00:00:00 PDT 1982, Total Sales: 1
Date: Tue Jun 08 00:00:00 PDT 1982, Total Sales: 1
Date: Wed Jun 16 00:00:00 PDT 1982, Total Sales: 3
Date: Sat Jun 19 00:00:00 PDT 1982, Total Sales: 1
Date: Mon Jun 21 00:00:00 PDT 1982, Total Sales: 1
Date: Wed Jul 07 00:00:00 PDT 1982, Total Sales: 1
Date: Fri Jul 09 00:00:00 PDT 1982, Total Sales: 1
Date: Wed Jul 14 00:00:00 PDT 1982, Total Sales: 1
Date: Thu Jul 15 00:00:00 PDT 1982, Total Sales: 1
Date: Sat Jul 24 00:00:00 PDT 1982, Total Sales: 1
Date: Mon Aug 02 00:00:00 PDT 1982, Total Sales: 1
Date: Wed Aug 04 00:00:00 PDT 1982, Total Sales: 1
Date: Thu Aug 05 00:00:00 PDT 1982, Total Sales: 1
Date: Sat Aug 14 00:00:00 PDT 1982, Total Sales: 1
Date: Fri Aug 27 00:00:00 PDT 1982, Total Sales: 1
Date: Fri Sep 03 00:00:00 PDT 1982, Total Sales: 1
Date: Sat Sep 18 00:00:00 PDT 1982, Total Sales: 1
Date: Tue Sep 21 00:00:00 PDT 1982, Total Sales: 1
Date: Tue Sep 28 00:00:00 PDT 1982, Total Sales: 1
Date: Mon Oct 04 00:00:00 PDT 1982, Total Sales: 1
Date: Sat Oct 09 00:00:00 PDT 1982, Total Sales: 1
Date: Mon Oct 11 00:00:00 PDT 1982, Total Sales: 1
Date: Sun Oct 31 00:00:00 PDT 1982, Total Sales: 1
Date: Mon Nov 01 00:00:00 PST 1982, Total Sales: 1
Date: Sun Nov 07 00:00:00 PST 1982, Total Sales: 1
Date: Fri Nov 12 00:00:00 PST 1982, Total Sales: 1
Date: Wed Nov 17 00:00:00 PST 1982, Total Sales: 1
Date: Sun Nov 21 00:00:00 PST 1982, Total Sales: 1
Date: Fri Dec 10 00:00:00 PST 1982, Total Sales: 1
Date: Mon Dec 20 00:00:00 PST 1982, Total Sales: 1
Date: Fri Dec 24 00:00:00 PST 1982, Total Sales: 1
Date: Thu Jan 06 00:00:00 PST 1983, Total Sales: 1
Date: Sat Jan 15 00:00:00 PST 1983, Total Sales: 1
Date: Tue Jan 18 00:00:00 PST 1983, Total Sales: 1
Date: Thu Feb 10 00:00:00 PST 1983, Total Sales: 2
Date: Sun Feb 13 00:00:00 PST 1983, Total Sales: 1
Date: Thu Feb 17 00:00:00 PST 1983, Total Sales: 1
Date: Sat Feb 19 00:00:00 PST 1983, Total Sales: 1
Date: Sun Feb 27 00:00:00 PST 1983, Total Sales: 2
Date: Thu Mar 03 00:00:00 PST 1983, Total Sales: 1
Date: Sat Mar 05 00:00:00 PST 1983, Total Sales: 1
Date: Mon Mar 21 00:00:00 PST 1983, Total Sales: 1
Date: Tue Mar 22 00:00:00 PST 1983, Total Sales: 1
Date: Fri Mar 25 00:00:00 PST 1983, Total Sales: 1
Date: Mon Apr 04 00:00:00 PST 1983, Total Sales: 2
Date: Fri Apr 15 00:00:00 PST 1983, Total Sales: 1
Date: Tue Apr 26 00:00:00 PDT 1983, Total Sales: 1
Date: Sun May 01 00:00:00 PDT 1983, Total Sales: 2
Date: Tue May 03 00:00:00 PDT 1983, Total Sales: 1
Date: Sat May 07 00:00:00 PDT 1983, Total Sales: 1
Date: Sun May 22 00:00:00 PDT 1983, Total Sales: 1
Date: Tue May 24 00:00:00 PDT 1983, Total Sales: 1
Date: Fri Jun 03 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Jun 05 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Jun 12 00:00:00 PDT 1983, Total Sales: 2
Date: Sat Jun 18 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Jun 26 00:00:00 PDT 1983, Total Sales: 1
Date: Tue Jun 28 00:00:00 PDT 1983, Total Sales: 1
Date: Sat Jul 09 00:00:00 PDT 1983, Total Sales: 1
Date: Wed Jul 13 00:00:00 PDT 1983, Total Sales: 1
Date: Fri Jul 22 00:00:00 PDT 1983, Total Sales: 1
Date: Thu Jul 28 00:00:00 PDT 1983, Total Sales: 1
Date: Tue Aug 02 00:00:00 PDT 1983, Total Sales: 1
Date: Fri Aug 05 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Aug 07 00:00:00 PDT 1983, Total Sales: 1
Date: Wed Aug 10 00:00:00 PDT 1983, Total Sales: 1
Date: Sat Aug 13 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Aug 21 00:00:00 PDT 1983, Total Sales: 1
Date: Tue Aug 23 00:00:00 PDT 1983, Total Sales: 1
Date: Wed Aug 24 00:00:00 PDT 1983, Total Sales: 1
Date: Tue Aug 30 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Sep 04 00:00:00 PDT 1983, Total Sales: 1
Date: Mon Sep 05 00:00:00 PDT 1983, Total Sales: 1
Date: Fri Sep 09 00:00:00 PDT 1983, Total Sales: 1
Date: Tue Sep 13 00:00:00 PDT 1983, Total Sales: 1
Date: Fri Sep 23 00:00:00 PDT 1983, Total Sales: 2
Date: Tue Sep 27 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Oct 02 00:00:00 PDT 1983, Total Sales: 1
Date: Thu Oct 06 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Oct 16 00:00:00 PDT 1983, Total Sales: 1
Date: Thu Oct 20 00:00:00 PDT 1983, Total Sales: 1
Date: Sun Oct 23 00:00:00 PDT 1983, Total Sales: 1
Date: Mon Oct 24 00:00:00 PDT 1983, Total Sales: 1
Date: Wed Oct 26 00:00:00 PDT 1983, Total Sales: 1
Date: Thu Nov 03 00:00:00 PST 1983, Total Sales: 1
Date: Fri Nov 04 00:00:00 PST 1983, Total Sales: 1
Date: Wed Nov 16 00:00:00 PST 1983, Total Sales: 1
Date: Thu Nov 17 00:00:00 PST 1983, Total Sales: 1
Date: Tue Nov 22 00:00:00 PST 1983, Total Sales: 1
Date: Tue Nov 29 00:00:00 PST 1983, Total Sales: 1
Date: Mon Dec 19 00:00:00 PST 1983, Total Sales: 1
Date: Wed Dec 28 00:00:00 PST 1983, Total Sales: 1
Date: Thu Dec 29 00:00:00 PST 1983, Total Sales: 1
Date: Sat Dec 31 00:00:00 PST 1983, Total Sales: 3
Date: Mon Jan 02 00:00:00 PST 1984, Total Sales: 1
Date: Fri Jan 06 00:00:00 PST 1984, Total Sales: 1
Date: Tue Jan 10 00:00:00 PST 1984, Total Sales: 1
Date: Wed Jan 11 00:00:00 PST 1984, Total Sales: 1
Date: Sat Jan 14 00:00:00 PST 1984, Total Sales: 1
Date: Sun Jan 22 00:00:00 PST 1984, Total Sales: 1
Date: Wed Jan 25 00:00:00 PST 1984, Total Sales: 1
Date: Sat Jan 28 00:00:00 PST 1984, Total Sales: 1
Date: Thu Feb 02 00:00:00 PST 1984, Total Sales: 1
Date: Wed Feb 08 00:00:00 PST 1984, Total Sales: 1
Date: Fri Feb 10 00:00:00 PST 1984, Total Sales: 1
Date: Mon Feb 13 00:00:00 PST 1984, Total Sales: 2
Date: Tue Feb 21 00:00:00 PST 1984, Total Sales: 1
Date: Fri Feb 24 00:00:00 PST 1984, Total Sales: 1
Date: Thu Mar 01 00:00:00 PST 1984, Total Sales: 1
Date: Fri Mar 02 00:00:00 PST 1984, Total Sales: 1
Date: Fri Mar 09 00:00:00 PST 1984, Total Sales: 1
Date: Sat Mar 10 00:00:00 PST 1984, Total Sales: 1
Date: Mon Apr 09 00:00:00 PST 1984, Total Sales: 1
Date: Wed Apr 18 00:00:00 PST 1984, Total Sales: 1
Date: Thu Apr 19 00:00:00 PST 1984, Total Sales: 1
Date: Wed Apr 25 00:00:00 PST 1984, Total Sales: 1
Date: Mon May 07 00:00:00 PDT 1984, Total Sales: 1
Date: Thu May 17 00:00:00 PDT 1984, Total Sales: 1
Date: Sun May 27 00:00:00 PDT 1984, Total Sales: 1
Date: Mon May 28 00:00:00 PDT 1984, Total Sales: 1
Date: Tue Jun 05 00:00:00 PDT 1984, Total Sales: 1
Date: Wed Jun 06 00:00:00 PDT 1984, Total Sales: 1
Date: Sat Jun 16 00:00:00 PDT 1984, Total Sales: 1
Date: Fri Jun 22 00:00:00 PDT 1984, Total Sales: 1
Date: Mon Jun 25 00:00:00 PDT 1984, Total Sales: 1
Date: Sun Jul 01 00:00:00 PDT 1984, Total Sales: 1
Date: Tue Jul 10 00:00:00 PDT 1984, Total Sales: 1
Date: Fri Jul 13 00:00:00 PDT 1984, Total Sales: 2
Date: Thu Jul 19 00:00:00 PDT 1984, Total Sales: 1
Date: Fri Aug 03 00:00:00 PDT 1984, Total Sales: 1
Date: Tue Aug 07 00:00:00 PDT 1984, Total Sales: 1
Date: Fri Aug 10 00:00:00 PDT 1984, Total Sales: 1
Date: Sat Aug 11 00:00:00 PDT 1984, Total Sales: 1
Date: Mon Aug 13 00:00:00 PDT 1984, Total Sales: 2
Date: Wed Aug 15 00:00:00 PDT 1984, Total Sales: 1
Date: Fri Aug 17 00:00:00 PDT 1984, Total Sales: 1
Date: Mon Aug 27 00:00:00 PDT 1984, Total Sales: 1
Date: Tue Aug 28 00:00:00 PDT 1984, Total Sales: 1
Date: Thu Aug 30 00:00:00 PDT 1984, Total Sales: 1
Date: Tue Sep 11 00:00:00 PDT 1984, Total Sales: 1
Date: Wed Sep 19 00:00:00 PDT 1984, Total Sales: 1
Date: Thu Sep 20 00:00:00 PDT 1984, Total Sales: 1
Date: Mon Sep 24 00:00:00 PDT 1984, Total Sales: 1
Date: Tue Oct 02 00:00:00 PDT 1984, Total Sales: 1
Date: Thu Oct 04 00:00:00 PDT 1984, Total Sales: 3
Date: Sun Oct 14 00:00:00 PDT 1984, Total Sales: 1
Date: Tue Oct 16 00:00:00 PDT 1984, Total Sales: 1
Date: Wed Nov 14 00:00:00 PST 1984, Total Sales: 1
Date: Mon Nov 19 00:00:00 PST 1984, Total Sales: 1
Date: Wed Dec 12 00:00:00 PST 1984, Total Sales: 1
Date: Fri Dec 14 00:00:00 PST 1984, Total Sales: 1
Date: Mon Dec 17 00:00:00 PST 1984, Total Sales: 1
Date: Thu Dec 20 00:00:00 PST 1984, Total Sales: 1
Date: Mon Dec 24 00:00:00 PST 1984, Total Sales: 1
Date: Sun Dec 30 00:00:00 PST 1984, Total Sales: 2
Date: Mon Jan 14 00:00:00 PST 1985, Total Sales: 1
Date: Fri Jan 18 00:00:00 PST 1985, Total Sales: 1
Date: Sun Jan 20 00:00:00 PST 1985, Total Sales: 1
Date: Mon Jan 28 00:00:00 PST 1985, Total Sales: 1
Date: Sun Feb 03 00:00:00 PST 1985, Total Sales: 1
Date: Fri Feb 08 00:00:00 PST 1985, Total Sales: 1
Date: Sun Feb 10 00:00:00 PST 1985, Total Sales: 1
Date: Fri Mar 01 00:00:00 PST 1985, Total Sales: 1
Date: Thu Mar 07 00:00:00 PST 1985, Total Sales: 1
Date: Sat Mar 09 00:00:00 PST 1985, Total Sales: 1
Date: Sun Mar 24 00:00:00 PST 1985, Total Sales: 1
Date: Mon Apr 01 00:00:00 PST 1985, Total Sales: 1
Date: Sat Apr 13 00:00:00 PST 1985, Total Sales: 1
Date: Mon Apr 22 00:00:00 PST 1985, Total Sales: 1
Date: Thu Apr 25 00:00:00 PST 1985, Total Sales: 1
Date: Fri Apr 26 00:00:00 PST 1985, Total Sales: 1
Date: Sat Apr 27 00:00:00 PST 1985, Total Sales: 1
Date: Thu May 02 00:00:00 PDT 1985, Total Sales: 1
Date: Wed May 08 00:00:00 PDT 1985, Total Sales: 2
Date: Mon May 13 00:00:00 PDT 1985, Total Sales: 1
Date: Fri May 17 00:00:00 PDT 1985, Total Sales: 1
Date: Tue May 28 00:00:00 PDT 1985, Total Sales: 1
Date: Fri Jun 07 00:00:00 PDT 1985, Total Sales: 2
Date: Sun Jun 09 00:00:00 PDT 1985, Total Sales: 1
Date: Mon Jun 10 00:00:00 PDT 1985, Total Sales: 1
Date: Sat Jun 15 00:00:00 PDT 1985, Total Sales: 1
Date: Sun Jun 16 00:00:00 PDT 1985, Total Sales: 1
Date: Mon Jun 17 00:00:00 PDT 1985, Total Sales: 1
Date: Mon Jun 24 00:00:00 PDT 1985, Total Sales: 2
Date: Fri Jun 28 00:00:00 PDT 1985, Total Sales: 1
Date: Tue Jul 02 00:00:00 PDT 1985, Total Sales: 2
Date: Sat Jul 06 00:00:00 PDT 1985, Total Sales: 1
Date: Wed Jul 17 00:00:00 PDT 1985, Total Sales: 1
Date: Sat Jul 20 00:00:00 PDT 1985, Total Sales: 1
Date: Sun Jul 21 00:00:00 PDT 1985, Total Sales: 1
Date: Mon Jul 22 00:00:00 PDT 1985, Total Sales: 1
Date: Sat Aug 17 00:00:00 PDT 1985, Total Sales: 1
Date: Sun Aug 18 00:00:00 PDT 1985, Total Sales: 1
Date: Mon Aug 26 00:00:00 PDT 1985, Total Sales: 1
Date: Thu Aug 29 00:00:00 PDT 1985, Total Sales: 1
Date: Fri Aug 30 00:00:00 PDT 1985, Total Sales: 1
Date: Sun Sep 08 00:00:00 PDT 1985, Total Sales: 1
Date: Fri Sep 13 00:00:00 PDT 1985, Total Sales: 1
Date: Sun Sep 15 00:00:00 PDT 1985, Total Sales: 1
Date: Thu Sep 19 00:00:00 PDT 1985, Total Sales: 1
Date: Sun Sep 22 00:00:00 PDT 1985, Total Sales: 1
Date: Mon Sep 23 00:00:00 PDT 1985, Total Sales: 1
Date: Tue Sep 24 00:00:00 PDT 1985, Total Sales: 1
Date: Tue Oct 01 00:00:00 PDT 1985, Total Sales: 1
Date: Sat Oct 05 00:00:00 PDT 1985, Total Sales: 1
Date: Tue Oct 08 00:00:00 PDT 1985, Total Sales: 1
Date: Sun Oct 13 00:00:00 PDT 1985, Total Sales: 1
Date: Tue Oct 22 00:00:00 PDT 1985, Total Sales: 1
Date: Thu Oct 24 00:00:00 PDT 1985, Total Sales: 1
Date: Fri Oct 25 00:00:00 PDT 1985, Total Sales: 1
Date: Tue Nov 05 00:00:00 PST 1985, Total Sales: 1
Date: Wed Nov 06 00:00:00 PST 1985, Total Sales: 1
Date: Mon Nov 11 00:00:00 PST 1985, Total Sales: 1
Date: Tue Dec 03 00:00:00 PST 1985, Total Sales: 1
Date: Wed Dec 04 00:00:00 PST 1985, Total Sales: 1
Date: Fri Dec 13 00:00:00 PST 1985, Total Sales: 1
Date: Sat Dec 14 00:00:00 PST 1985, Total Sales: 1
Date: Fri Dec 20 00:00:00 PST 1985, Total Sales: 1
Date: Wed Dec 25 00:00:00 PST 1985, Total Sales: 2
Date: Sat Dec 28 00:00:00 PST 1985, Total Sales: 1
Date: Wed Jan 01 00:00:00 PST 1986, Total Sales: 1
Date: Thu Jan 02 00:00:00 PST 1986, Total Sales: 1
Date: Sat Jan 04 00:00:00 PST 1986, Total Sales: 1
Date: Sun Jan 12 00:00:00 PST 1986, Total Sales: 1
Date: Tue Jan 21 00:00:00 PST 1986, Total Sales: 1
Date: Wed Jan 22 00:00:00 PST 1986, Total Sales: 1
Date: Mon Jan 27 00:00:00 PST 1986, Total Sales: 1
Date: Sun Feb 02 00:00:00 PST 1986, Total Sales: 1
Date: Mon Feb 10 00:00:00 PST 1986, Total Sales: 1
Date: Wed Mar 12 00:00:00 PST 1986, Total Sales: 1
Date: Mon Mar 24 00:00:00 PST 1986, Total Sales: 1
Date: Fri Mar 28 00:00:00 PST 1986, Total Sales: 1
Date: Wed Apr 02 00:00:00 PST 1986, Total Sales: 1
Date: Fri Apr 04 00:00:00 PST 1986, Total Sales: 1
Date: Sun Apr 06 00:00:00 PST 1986, Total Sales: 1
Date: Tue Apr 08 00:00:00 PST 1986, Total Sales: 1
Date: Sat Apr 12 00:00:00 PST 1986, Total Sales: 1
Date: Sat Apr 19 00:00:00 PST 1986, Total Sales: 1
Date: Mon Apr 21 00:00:00 PST 1986, Total Sales: 1
Date: Tue Apr 22 00:00:00 PST 1986, Total Sales: 1
Date: Wed Apr 23 00:00:00 PST 1986, Total Sales: 1
Date: Sat May 03 00:00:00 PDT 1986, Total Sales: 1
Date: Sat May 10 00:00:00 PDT 1986, Total Sales: 1
Date: Mon May 12 00:00:00 PDT 1986, Total Sales: 1
Date: Sun May 18 00:00:00 PDT 1986, Total Sales: 1
Date: Mon May 19 00:00:00 PDT 1986, Total Sales: 1
Date: Fri May 23 00:00:00 PDT 1986, Total Sales: 1
Date: Tue May 27 00:00:00 PDT 1986, Total Sales: 1
Date: Wed May 28 00:00:00 PDT 1986, Total Sales: 1
Date: Sun Jun 01 00:00:00 PDT 1986, Total Sales: 1
Date: Wed Jun 11 00:00:00 PDT 1986, Total Sales: 1
Date: Wed Jun 18 00:00:00 PDT 1986, Total Sales: 1
Date: Wed Jul 02 00:00:00 PDT 1986, Total Sales: 1
Date: Sat Jul 19 00:00:00 PDT 1986, Total Sales: 1
Date: Wed Jul 30 00:00:00 PDT 1986, Total Sales: 1
Date: Fri Aug 01 00:00:00 PDT 1986, Total Sales: 1
Date: Sun Aug 17 00:00:00 PDT 1986, Total Sales: 1
Date: Tue Aug 19 00:00:00 PDT 1986, Total Sales: 2
Date: Sun Aug 24 00:00:00 PDT 1986, Total Sales: 1
Date: Tue Aug 26 00:00:00 PDT 1986, Total Sales: 1
Date: Mon Sep 01 00:00:00 PDT 1986, Total Sales: 1
Date: Sun Sep 07 00:00:00 PDT 1986, Total Sales: 1
Date: Mon Sep 08 00:00:00 PDT 1986, Total Sales: 1
Date: Mon Sep 22 00:00:00 PDT 1986, Total Sales: 1
Date: Tue Sep 23 00:00:00 PDT 1986, Total Sales: 1
Date: Sun Sep 28 00:00:00 PDT 1986, Total Sales: 1
Date: Wed Oct 01 00:00:00 PDT 1986, Total Sales: 1
Date: Mon Oct 06 00:00:00 PDT 1986, Total Sales: 1
Date: Fri Oct 17 00:00:00 PDT 1986, Total Sales: 1
Date: Sun Oct 19 00:00:00 PDT 1986, Total Sales: 2
Date: Sat Oct 25 00:00:00 PDT 1986, Total Sales: 2
Date: Sat Nov 01 00:00:00 PST 1986, Total Sales: 1
Date: Tue Nov 04 00:00:00 PST 1986, Total Sales: 1
Date: Wed Nov 12 00:00:00 PST 1986, Total Sales: 1
Date: Thu Nov 13 00:00:00 PST 1986, Total Sales: 1
Date: Wed Nov 19 00:00:00 PST 1986, Total Sales: 1
Date: Sat Dec 13 00:00:00 PST 1986, Total Sales: 1
Date: Sun Dec 28 00:00:00 PST 1986, Total Sales: 2
Date: Wed Dec 31 00:00:00 PST 1986, Total Sales: 1
Date: Mon Jan 12 00:00:00 PST 1987, Total Sales: 1
Date: Fri Jan 23 00:00:00 PST 1987, Total Sales: 1
Date: Sat Jan 24 00:00:00 PST 1987, Total Sales: 1
Date: Tue Jan 27 00:00:00 PST 1987, Total Sales: 1
Date: Mon Feb 02 00:00:00 PST 1987, Total Sales: 1
Date: Tue Feb 03 00:00:00 PST 1987, Total Sales: 1
Date: Wed Feb 04 00:00:00 PST 1987, Total Sales: 1
Date: Tue Feb 10 00:00:00 PST 1987, Total Sales: 1
Date: Fri Feb 13 00:00:00 PST 1987, Total Sales: 1
Date: Sun Feb 15 00:00:00 PST 1987, Total Sales: 1
Date: Tue Feb 17 00:00:00 PST 1987, Total Sales: 1
Date: Wed Feb 18 00:00:00 PST 1987, Total Sales: 1
Date: Thu Feb 26 00:00:00 PST 1987, Total Sales: 1
Date: Tue Mar 10 00:00:00 PST 1987, Total Sales: 1
Date: Tue Mar 17 00:00:00 PST 1987, Total Sales: 1
Date: Thu Mar 19 00:00:00 PST 1987, Total Sales: 1
Date: Fri Mar 20 00:00:00 PST 1987, Total Sales: 1
Date: Sat Mar 21 00:00:00 PST 1987, Total Sales: 1
Date: Mon Mar 23 00:00:00 PST 1987, Total Sales: 1
Date: Sat Mar 28 00:00:00 PST 1987, Total Sales: 1
Date: Tue Mar 31 00:00:00 PST 1987, Total Sales: 1
Date: Wed Apr 01 00:00:00 PST 1987, Total Sales: 1
